"COUB","Country of birth","FBORN","Place of birth","EDU","Education level","AGE","Age","SEX","Sex","COU","Country of residence","Value","Flag Codes","Flags"
"SGP","Singapore","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",20636,,
"SAU","Saudi Arabia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",213,,
"QAT","Qatar","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",40,,
"KOREA-NO","North Korea","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",9,,
"PSE","Occup. Palestinian Terr.","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",1655,,
"OMN","Oman","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",23,,
"PAK","Pakistan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",7651,,
"PHL","Philippines","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",73238,,
"MMR","Myanmar","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",7657,,
"NPL","Nepal","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",1491,,
"MNG","Mongolia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",18,,
"MYS","Malaysia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",52636,,
"MDV","Maldives","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",33,,
"LBN","Lebanon","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",56763,,
"MAC","Macau","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",1056,,
"KWT","Kuwait","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",1181,,
"USSR-KGZ","Kyrgyzstan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",16,,
"LAO","Laos","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",7678,,
"JPN","Japan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",16771,,
"JOR","Jordan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",2212,,
"USSR-KAZ","Kazakhstan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",155,,
"HKG","Hong Kong","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",38843,,
"ISR","Israel","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",4420,,
"IND","India","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",65254,,
"IDN","Indonesia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",24584,,
"IRN","Iran","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",12701,,
"IRQ","Iraq","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",16023,,
"CHN","China","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",95853,,
"TWN","Chinese Taipei","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",11369,,
"KHM","Cambodia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",17314,,
"BRN","Brunei Darussalam","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",886,,
"BTN","Bhutan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",14,,
"USSR-AZE","Azerbaijan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",20,,
"BHR","Bahrain","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",211,,
"BGD","Bangladesh","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",6050,,
"USSR-ARM","Armenia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",504,,
"AFG","Afghanistan","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",6171,,
"ASIA","Asia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",759590,,
"EURO","Europe","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",1439057,,
"ALB","Albania","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",740,,
"USSR-BLR","Belarus","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",420,,
"BEL","Belgium","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",3268,,
"AUT","Austria","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",11868,,
"FYUG-BIH","Bosnia-Herzegovina","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",15322,,
"BGR","Bulgaria","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",1499,,
"CYP","Cyprus","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",14209,,
"CSFR-CZE","Czech Republic","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",4282,,
"DNK","Denmark","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",6526,,
"USSR-EST","Estonia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",462,,
"FYUG-HRV","Croatia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",37139,,
"IRL","Ireland","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",34437,,
"ITA","Italy","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",124373,,
"HUN","Hungary","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",12047,,
"ISL","Iceland","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",208,,
"GIB","Gibraltar","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",173,,
"GRC","Greece","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",77254,,
"USSR-GEO","Georgia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",86,,
"DEU","Germany","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",72853,,
"FIN","Finland","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",6092,,
"FRA","France","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",13006,,
"USSR-LVA","Latvia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",1859,,
"USSR-LTU","Lithuania","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",992,,
"LUX","Luxembourg","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",4,,
"FYUG-MKD","Macedonia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",33820,,
"USSR-MDA","Moldova","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",184,,
"MLT","Malta","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",34587,,
"NLD","Netherlands","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",54111,,
"NOR","Norway","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",2003,,
"ROU","Romania","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",7922,,
"USSR-RUS","Russia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",7580,,
"POL","Poland","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",30482,,
"PRT","Portugal","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",11654,,
"CSFR-SVK","Slovak Republic","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",1758,,
"FYUG-SVN","Slovenia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",3553,,
"ESP","Spain","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",8822,,
"FYUG-YUG","Serbia and Montenegro","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",38250,,
"TUR","Türkiye","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",23941,,
"SWE","Sweden","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",4705,,
"CHE","Switzerland","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",7550,,
"GBR","United Kingdom","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",720165,,
"USSR-UKR","Ukraine","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",5385,,
"EURO_UN","Unknown place of birth in Europe","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",3466,,
"USA","United States","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",35258,,
"CAN","Canada","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",18973,,
"NOAM","North America","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",54231,,
"OCEA","Oceania","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",7047647,,
"AUS","Australia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",6729147,,
"COK","Cook Islands","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",3191,,
"NZL","New Zealand","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",247609,,
"NRU","Nauru","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",179,,
"FJI","Fiji","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",30836,,
"KIR","Kiribati","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",174,,
"GUM","Guam","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",4,,
"TUV","Tuvalu","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",8,,
"TKL","Tokelau","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",59,,
"TON","Tonga","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",5967,,
"SLB","Solomon Islands","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",778,,
"WSM","Samoa","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",10291,,
"NIU","Niue","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",253,,
"NFK","Norfolk Islands","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",24,,
"PNG","Papua New Guinea","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",17237,,
"OCEA_UN","Unknown place of birth in Oceania","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",1426,,
"VUT","Vanuatu","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",464,,
"VEN","Venezuela","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",676,,
"SCAC_UN","Unknown place of birth in South and Central America and Carribean","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",2828,,
"SLV","Salvador","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",5819,,
"PAN","Panama","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",24,,
"PRY","Paraguay","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",129,,
"PER","Peru","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",3989,,
"PRI","Puerto Rico","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",14,,
"TTO","Trinidad and Tobago","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",816,,
"URY","Uruguay","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",7552,,
"GTM","Guatemala","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",51,,
"HND","Honduras","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",4,,
"JAM","Jamaica","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",460,,
"GUY","Guyana","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",262,,
"MEX","Mexico","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",666,,
"NIC","Nicaragua","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",396,,
"ANT","Netherlands Antilles","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",17,,
"CRI","Costa Rica","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",56,,
"COL","Colombia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",2856,,
"CUB","Cuba","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",176,,
"CHL","Chile","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",18220,,
"ECU","Ecuador","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",962,,
"FLK","Falkland Islands","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",4,,
"ARG","Argentina","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",8219,,
"SCAC","South and Central America and Caribbean","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",57996,,
"BOL","Bolivia","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",350,,
"BRA","Brazil","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",3171,,
"BMU","Bermuda","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",116,,
"BRB","Barbados","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",127,,
"BHS","Bahamas","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",36,,
"OTHER","Other and unknown places of birth","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",438225,,
"OTH","Other place of birth (foreign-born)","ALL_FBORN","All places of birth","ALL_EDU","All levels of education","3_10","25-64 years","ALL_SEX","Men and women","AUS","Australia",782,,
